support,itemsets
0.02,"go, love, place"
0.023,"love, place, service"
0.035,"great, love, place"
0.02,"love, place, would"
0.022,"love, one, place"
0.02,"get, love, place"
0.024,"love, place, really"
0.059,"back, got"
0.052,"food, got"
0.051,"got, time"
0.046,"got, like"
0.038,"also, got"
0.02,"friendly, got"
0.063,"got, place"
0.048,"got, great"
0.036,"got, really"
0.066,"good, got"
0.047,"got, one"
0.045,"got, would"
0.041,"get, got"
0.025,"best, got"
0.033,"got, restaurant"
0.027,"got, well"
0.046,"go, got"
0.046,"got, service"
0.02,"got, nice"
0.03,"back, got, place"
0.03,"back, good, got"
0.024,"back, food, got"
0.035,"food, good, got"
0.026,"food, got, place"
0.031,"back, got, time"
0.024,"food, got, time"
0.03,"got, place, time"
0.029,"good, got, time"
0.026,"back, got, like"
0.022,"got, like, time"
0.029,"good, got, like"
0.023,"got, like, one"
0.025,"got, like, place"
0.021,"also, back, got"
0.02,"also, got, time"
0.025,"also, got, place"
0.022,"also, good, got"
0.036,"good, got, place"
0.027,"got, great, place"
0.021,"back, got, great"
0.023,"food, got, great"
0.022,"good, got, great"
0.02,"got, great, time"
0.023,"back, got, really"
0.02,"got, place, really"
0.022,"good, got, really"
0.021,"got, like, really"
0.03,"got, one, place"
0.026,"good, got, one"
0.025,"got, one, time"
0.025,"back, got, one"
0.021,"got, great, one"
0.026,"back, got, would"
0.026,"got, place, would"
0.025,"good, got, would"
0.022,"got, one, would"
0.02,"got, time, would"
0.027,"got, like, would"
0.022,"back, get, got"
0.021,"get, got, one"
0.021,"get, good, got"
0.02,"get, got, time"
0.02,"get, got, place"
0.021,"get, go, got"
0.021,"food, got, restaurant"
0.021,"good, got, restaurant"
0.031,"back, go, got"
0.027,"go, got, time"
0.026,"go, good, got"
0.022,"go, got, one"
0.025,"go, got, place"
0.023,"back, got, service"
0.022,"good, got, service"
0.022,"got, one, service"
0.025,"food, got, service"
0.022,"got, place, service"
0.057,"make, time"
0.044,"like, make"
0.039,"food, make"
0.034,"back, make"
0.033,"also, make"
0.024,"got, make"
0.022,"love, make"
0.02,"friendly, make"
0.032,"make, really"
0.062,"make, place"
0.053,"good, make"
0.048,"get, make"
0.048,"great, make"
0.045,"make, would"
0.045,"make, one"
0.026,"make, staff"
0.023,"little, make"
0.022,"best, make"
0.023,"make, restaurant"
0.028,"make, well"
0.033,"go, make"
0.032,"make, service"
0.026,"even, make"
0.025,"make, nice"
0.033,"make, place, time"
0.023,"like, make, time"
0.028,"like, make, place"
0.025,"good, like, make"
0.023,"like, make, one"
0.023,"get, like, make"
0.021,"great, like, make"
0.022,"like, make, would"
0.02,"food, make, time"
0.024,"food, make, place"
0.02,"food, great, make"
0.022,"back, make, time"
0.021,"also, make, place"
0.032,"good, make, place"
0.03,"good, make, time"
0.021,"good, make, place, time"
0.027,"get, good, make"
0.027,"get, make, place"
0.025,"get, make, time"
0.028,"great, make, place"
0.022,"get, great, make"
0.021,"good, great, make"
0.021,"great, make, time"
0.026,"make, place, would"
0.025,"good, make, would"
0.024,"make, time, would"
0.031,"make, one, place"
0.029,"good, make, one"
0.025,"make, one, time"
0.023,"get, make, one"
0.021,"make, one, would"
0.023,"good, make, one, place"
0.02,"make, one, place, time"
0.048,"definitely, food"
0.046,"back, definitely"
0.034,"definitely, time"
0.032,"also, definitely"
0.031,"definitely, like"
0.027,"definitely, got"
0.024,"definitely, friendly"
0.058,"definitely, place"
0.045,"definitely, great"
0.029,"come, definitely"
0.028,"definitely, really"
0.034,"definitely, service"
0.031,"definitely, well"
0.032,"definitely, try"
0.03,"definitely, get"
0.025,"definitely, go"
0.038,"definitely, would"
0.031,"definitely, one"
0.021,"definitely, little"
0.024,"definitely, nice"
0.021,"definitely, delicious"
0.05,"definitely, good"
0.021,"definitely, even"
0.021,"best, definitely"
0.025,"definitely, restaurant"
0.023,"definitely, food, good"
0.026,"definitely, food, place"
0.021,"back, definitely, food"
0.02,"back, definitely, place"
0.023,"back, definitely, good"
0.02,"definitely, good, time"
0.028,"definitely, great, place"
0.023,"back, definitely, great"
0.023,"definitely, food, great"
0.021,"definitely, food, service"
0.02,"back, definitely, service"
0.021,"definitely, place, would"
0.021,"definitely, one, place"
0.026,"definitely, good, place"
0.057,"food, im"
0.044,"im, time"
0.041,"im, like"
0.039,"back, im"
0.032,"im, love"
0.028,"also, im"
0.022,"definitely, im"
0.022,"im, make"
0.022,"got, im"
0.067,"im, place"
0.062,"good, im"
0.039,"great, im"
0.031,"im, really"
0.03,"im, well"
0.032,"im, service"
