antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'way', 'like'})",frozenset({'place'}),0.0342,0.3787,0.0205,0.5994152046783626,1.5828233553693232,1.0,0.007548460000000002,1.550982481751825,0.38125653445393437,0.05224260958205913,0.3552473920462943,0.32677388171599675
"frozenset({'going', 'back'})",frozenset({'place'}),0.0381,0.3787,0.0201,0.5275590551181102,1.3930790998629792,1.0,0.005671529999999999,1.3150849999999998,0.29334200191474274,0.050668011091504914,0.23959287802689558,0.29031768441144484
frozenset({'want'}),frozenset({'place'}),0.0824,0.3787,0.0417,0.5060679611650486,1.3363294459071788,1.0,0.010495120000000004,1.2578653562653563,0.27428240493916994,0.09942775393419172,0.2050023517866548,0.30809075375390005
"frozenset({'food', 'want'})",frozenset({'place'}),0.0358,0.3787,0.0212,0.5921787709497207,1.563714737126276,1.0,0.0076425400000000015,1.5234616438356166,0.37388215081033066,0.05390287312484109,0.34360014638615927,0.3240798792694207
"frozenset({'place', 'want'})",frozenset({'food'}),0.0417,0.3643,0.0212,0.5083932853717026,1.3955346839739295,1.0,0.006008689999999999,1.2931068292682923,0.29576205111646203,0.05509355509355509,0.2266686886451197,0.2832935408467077
frozenset({'eat'}),frozenset({'food'}),0.0761,0.3643,0.0412,0.5413929040735874,1.4861183202678765,1.0,0.013476769999999999,1.3861538681948424,0.35404921307626913,0.10320641282565131,0.2785793677419969,0.3272432541229864
frozenset({'eat'}),frozenset({'place'}),0.0761,0.3787,0.04,0.5256241787122208,1.3879698408033292,1.0,0.011180930000000002,1.309721052631579,0.3025470830176427,0.09643201542912247,0.2364786394853063,0.31562434179867704
"frozenset({'good', 'eat'})",frozenset({'food'}),0.036,0.3643,0.023,0.638888888888889,1.7537438618964836,1.0,0.0098852,1.7604000000000002,0.44584160202056655,0.06095944871455076,0.431947284708021,0.35101183395858115
"frozenset({'food', 'eat'})",frozenset({'good'}),0.0412,0.3481,0.023,0.558252427184466,1.6037128043219362,1.0,0.008658279999999999,1.47572967032967,0.39262302515825936,0.06279006279006279,0.32236911671186685,0.3121626973612649
"frozenset({'good', 'eat'})",frozenset({'place'}),0.036,0.3787,0.0207,0.5750000000000001,1.5183522577237922,1.0,0.0070668000000000016,1.4618823529411766,0.3541403572072886,0.05253807106598985,0.3159504265250283,0.31483034063902826
"frozenset({'place', 'eat'})",frozenset({'good'}),0.04,0.3481,0.0207,0.5175,1.4866417696064347,1.0,0.006775999999999999,1.3510880829015541,0.34098228663446056,0.056341861731083284,0.2598558061052308,0.28848283539212866
"frozenset({'food', 'eat'})",frozenset({'place'}),0.0412,0.3787,0.023,0.558252427184466,1.4741284055570796,1.0,0.007397560000000001,1.4064593406593404,0.3354537374616822,0.05794910556815319,0.28899473231042333,0.30949325874670885
"frozenset({'place', 'eat'})",frozenset({'food'}),0.04,0.3643,0.023,0.575,1.578369475706835,1.0,0.008427999999999998,1.4957647058823527,0.3817028985507246,0.060319958038290065,0.33144565046405533,0.31906738951413666
frozenset({'tried'}),frozenset({'good'}),0.0662,0.3481,0.0332,0.5015105740181269,1.4407083424824099,1.0,0.01015578,1.307750909090909,0.3275829813148503,0.08711624245604828,0.23532838474938936,0.29844273314523123
frozenset({'long'}),frozenset({'time'}),0.0628,0.2747,0.0345,0.5493630573248408,1.9998655162899193,1.0,0.017248840000000005,1.6094996466431097,0.533468178416127,0.11386138613861385,0.3786888974560055,0.3374773058739239
